Description	Name	Egg_1	Egg_2	Egg_3	2_1	2_2	2_3	4_1	4_2	4_3	6_1	6_2	6_3	8_1	8_2	8_3	24_1	24_2	24_3	Gene_stable_ID	Transcript_stable_ID	Protein_stable_ID	Transcript_name	Gene_Synonym	Gene_type	Gene_description
Protease 1 OS=Achromobacter lyticus PE=1 SV=1	NA	5192854643.09543	5020300112.47784	6046787091.93183	5295956491.25155	4428531514.44687	5486668341.44062	6240104373.54269	5902414386.1138	5175230057.0379	7792613853.71128	5541524277.84094	5230612975.3593	6776284886.83963	5571703941.65295	5359164358.8875	6720410577.91035	5186253927.91387	5948832510.59873	NA	NA	NA	NA	NA	NA	NA
delta-1-pyrroline-5-carboxylate synthase isoform X1 [Danio rerio]	LOC100332705; aldh18a1	5015748536.96008	5488442566.82447	5764899401.81567	4867406392.98419	4775754581.8258	5144502640.37474	4741812150.03046	4529482672.46247	4859572521.99313	3632481758.11348	4319215771.58227	4449441985.08407	3940793346.53665	3982165308.4163	4317191250.53869	2813012389.24553	3077162571.62429	2856624723.16196	NA	NA	NA	NA	NA	NA	NA
pep chromosome:GRCz11:3:48549294:48559906:-1 gene:ENSDARG00000098355.2 transcript:ENSDART00000160370.2 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:atp5pd description:ATP synthase peripheral stalk subunit d [Source:ZFIN;Acc:ZDB-GENE-040426-1658]	atp5h	4742572482.73272	5038030725.84674	4450280617.28731	3850885803.00365	4228136594.33916	4511661697.19576	3250361188.69514	3455113619.66615	3881511867.02279	2850290009.63314	2916014702.29763	3378554441.66058	3246917830.2104	3217026415.43457	3189800892.28674	2761665291.31547	2417811336.93795	1821223690.02874	NA	NA	NA	NA	NA	NA	NA
pep chromosome:GRCz11:13:9842276:9851472:1 gene:ENSDARG00000032102.10 transcript:ENSDART00000041700.9 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:prdx3 description:peroxiredoxin 3 [Source:ZFIN;Acc:ZDB-GENE-030826-18]	NA	4217974647.86737	3608245156.04065	3617152971.66557	3614093382.19861	3244213270.84721	3380562783.15518	3305491978.93025	2775963295.94304	3232563433.17444	2685395729.07038	2715588446.57299	2703831942.246	2801757475.78681	3000117059.05779	2775735562.61023	2185321117.02527	2084670024.11974	1859697543.66743	NA	NA	NA	NA	NA	NA	NA
pep chromosome:GRCz11:MT:8130:8820:1 gene:ENSDARG00000063908.3 transcript:ENSDART00000093609.3 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:mt-co2 description:cytochrome c oxidase II, mitochondrial [Source:ZFIN;Acc:ZDB-GENE-011205-15]	COX2	4205690859.61878	4015490414.18956	4185432661.54566	3733012095.19298	3912014570.69191	4171995686.92538	3322440535.53868	3210754940.26314	3653301148.8917	2804091211.01996	2876311928.97503	2946885298.05747	3132319406.76759	3259030002.95811	3097076040.72296	2679734287.16336	2641791221.62935	2131036615.67839	NA	NA	NA	NA	NA	NA	NA
prohibitin isoform X1 [Danio rerio]	phb	4125025016.77649	3832897278.64577	4041946915.11903	3658735485.56725	3337325726.03668	3401848839.9681	3053421281.19184	3025703187.26096	3646100383.90553	2638391614.10518	2743592943.64782	3066502952.54872	2902304974.7385	2976975915.69752	3217959134.50339	2111305879.7313	2269512768.47834	1867912192.71108	ENSDARG00000057414	ENSDART00000080075	ENSDARP00000074525	phb-201		protein_coding	prohibitin_[Source:ZFIN;Acc:ZDB-GENE-030131-6577]
pep chromosome:GRCz11:MT:8894:9058:1 gene:ENSDARG00000063910.3 transcript:ENSDART00000093611.3 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:mt-atp8 description:ATP synthase 8, mitochondrial [Source:ZFIN;Acc:ZDB-GENE-011205-19]	ATP8	3996723825.7712	3767069575.34099	3721562702.86338	3356930502.56611	3434016204.77621	3717578256.72352	3096876536.28773	2939575202.48516	3194488951.7946	2964701781.15711	2821202007.14588	3003059423.01222	3078169770.63525	2680518308.23676	3119020321.01758	2707687493.43131	2207440987.74932	2274307491.69878	NA	NA	NA	NA	NA	NA	NA
pep chromosome:GRCz11:21:45190582:45210092:-1 gene:ENSDARG00000045132.8 transcript:ENSDART00000066373.7 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:vdac1 description:voltage-dependent anion channel 1 [Source:ZFIN;Acc:ZDB-GENE-030131-6514]	vdac1	3995552989.46702	3706497084.65022	3614238436.4231	3872173200.67436	3901674124.10703	3572117417.53217	3455379606.19693	3351145498.30184	3621157571.98784	3015715533.0744	2829208695.7885	3062418386.44737	3159366920.77507	2771673786.24827	2836444838.25675	2206471422.20389	1925979729.16834	1871725859.71877	ENSDARG00000045132	ENSDART00000150010,ENSDART00000066373,ENSDART00000149766	,ENSDARP00000066372	vdac1-203,vdac1-201,vdac1-202		protein_coding	voltage-dependent_anion_channel_1_[Source:ZFIN;Acc:ZDB-GENE-030131-6514]
pep chromosome:GRCz11:18:21178721:21188768:-1 gene:ENSDARG00000041068.5 transcript:ENSDART00000060166.5 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:got2a description:glutamic-oxaloacetic transaminase 2a, mitochondrial [Source:ZFIN;Acc:ZDB-GENE-040426-2703]	got2a	3971104473.90902	3667207772.7024	3667327106.65883	3622466370.42314	3415959544.82373	3321114999.52955	3210837909.84233	3162948069.0092	3439854068.68787	2655584176.06219	2824526455.83922	2899813205.52674	2652392831.69603	2926358699.51763	2756797283.24624	1919819663.99357	2049014737.40465	1973832249.78927	ENSDARG00000041068,ENSDARG00000114282	ENSDART00000060166,ENSDART00000180639	ENSDARP00000060165,ENSDARP00000149137	got2a-201,got2a-202		protein_coding	glutamic-oxaloacetic_transaminase_2a,_mitochondrial_[Source:ZFIN;Acc:ZDB-GENE-040426-2703]
Chain X, Voltage-dependent Anion Channel 2	NA	3947085138.3136	4235497980.60372	4112046335.61466	3830196038.81611	3714992186.46908	4039165127.2035	3290839048.57154	3403868447.9586	3646651058.12798	2956953621.4778	2903729563.09073	3339621641.44814	3192339385.52235	3168201057.81509	3276273385.06434	2720134231.35172	2500948488.43741	2636823857.06122	NA	NA	NA	NA	NA	NA	NA
pep chromosome:GRCz11:9:33145522:33148873:1 gene:ENSDARG00000001788.9 transcript:ENSDART00000005879.8 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:atp5po description:ATP synthase peripheral stalk subunit OSCP [Source:ZFIN;Acc:ZDB-GENE-050522-147]	atp5o	3864979743.5109	4825581597.95752	4084468506.32511	3491084189.488	3832557797.501	3789975944.33375	3359260784.50776	2930883093.83659	3452833211.15124	2625000479.62114	2761310943.27294	2365121290.6712	3059102035.88344	2950360351.08576	2079320902.75647	2560964626.43205	1918347995.8376	2677166338.41668	NA	NA	NA	NA	NA	NA	NA
pep chromosome:GRCz11:8:2509625:2529878:-1 gene:ENSDARG00000038881.6 transcript:ENSDART00000056767.6 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:acaa2 description:acetyl-CoA acyltransferase 2 [Source:ZFIN;Acc:ZDB-GENE-040426-1996]	acaa2	3846919039.85359	3126879256.13819	3227196299.52083	2882478447.66005	2954916350.58026	3338328949.95626	2767754444.44975	2506553159.7933	2717290135.03722	2144698770.26351	2308054019.50321	2615353000.71729	2355655598.37618	2405033169.43401	2444010345.54821	1775335343.76857	1758305370.53303	1695608092.90119	ENSDARG00000038881	ENSDART00000056767	ENSDARP00000056766	acaa2-201		protein_coding	acetyl-CoA_acyltransferase_2_[Source:ZFIN;Acc:ZDB-GENE-040426-1996]
isocitrate dehydrogenase [NADP], mitochondrial [Danio rerio]	idh2	3557373312.29525	3241436567.16616	3229920863.74688	2985569161.663	2955279660.17941	3042596350.6497	2665447870.3606	2289483781.4114	2739351570.14911	2251630606.24445	2248667163.8024	2455775880.9813	2370521529.45619	2334806549.37924	2258920285.95791	2441455682.20427	2244503024.15265	1788831638.78082	ENSDARG00000003795	ENSDART00000004692	ENSDARP00000027389	idh2-201		protein_coding	isocitrate_dehydrogenase_(NADP(+))_2_[Source:ZFIN;Acc:ZDB-GENE-031118-95]
pep chromosome:GRCz11:17:49983157:49995366:-1 gene:ENSDARG00000053217.6 transcript:ENSDART00000075223.6 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:cox7a2a description:cytochrome c oxidase subunit 7A2a [Source:ZFIN;Acc:ZDB-GENE-050522-153]	NA	3455165198.74897	3116300377.70489	3179974058.38279	2919731155.07615	2923333012.66934	3121212248.02088	2689339967.18936	2608642698.44706	2868920049.97861	2356287089.21436	2429601512.74957	2646710918.88514	2278320583.05718	2484530008.75637	2537226014.54204	2053772426.95451	1967644961.24673	2013429030.46116	NA	NA	NA	NA	NA	NA	NA
pep chromosome:GRCz11:8:25329493:25338709:-1 gene:ENSDARG00000011553.8 transcript:ENSDART00000131616.3 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:atp5pb description:ATP synthase peripheral stalk-membrane subunit b [Source:ZFIN;Acc:ZDB-GENE-041010-33]	atp5f1	3333800510.40186	3546511336.39659	3109559595.49127	2582183048.26781	3365379689.96416	2935915049.83019	2754878626.73281	2444521247.7704	2936105860.93759	2147406724.9214	2546131794.9719	2550183272.75866	2581095167.13752	2598104381.44671	2854236418.37088	2258635488.87453	2072690293.56709	1882246298.57618	NA	NA	NA	NA	NA	NA	NA
pep chromosome:GRCz11:5:9070382:9073433:-1 gene:ENSDARG00000068940.4 transcript:ENSDART00000099891.4 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:atp5meb description:ATP synthase membrane subunit eb [Source:ZFIN;Acc:ZDB-GENE-051130-1]	atp5ib	3282154554.67423	3488698985.19266	3572608380.51078	3334770014.49316	3688194000.86381	3343106693.49233	2525695718.93476	2684044804.61689	3471093577.91413	2742748560.45079	2478514518.8533	2275229321.13551	3143832156.89536	2481937794.46682	2650541701.76058	2434650016.92154	1696118331.85974	2016665266.37541	NA	NA	NA	NA	NA	NA	NA
pep chromosome:GRCz11:20:30939178:30947547:1 gene:ENSDARG00000042644.6 transcript:ENSDART00000062556.4 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:sod2 description:superoxide dismutase 2, mitochondrial [Source:ZFIN;Acc:ZDB-GENE-030131-7742]	sod2	3268499296.05108	3045621837.47923	2884362561.18393	2412329334.49842	2540136611.06147	2931807818.31368	2167360732.36617	2125969631.26559	2731711600.06302	1917379233.74694	2196771734.90964	2099814381.37083	2057128645.47615	1714681031.57036	2115679023.58678	1470423481.4713	1378734309.80634	1352086438.99589	ENSDARG00000042644	ENSDART00000062556,ENSDART00000152990,ENSDART00000153069,ENSDART00000153344	ENSDARP00000062555,	sod2-201,sod2-202,sod2-203,sod2-204		protein_coding	superoxide_dismutase_2,_mitochondrial_[Source:ZFIN;Acc:ZDB-GENE-030131-7742]
pep chromosome:GRCz11:20:20726231:20730214:1 gene:ENSDARG00000092873.2 transcript:ENSDART00000147112.2 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:zgc:193541 description:zgc:193541 [Source:ZFIN;Acc:ZDB-GENE-081022-15]	zgc:193541	3231517817.84413	2813916218.64609	2399585626.98407	2165082238.86985	2406188781.46012	2686592460.51615	1818926972.93965	1913765476.09831	2180086535.08278	1321743906.62839	1957652163.92724	1502831502.43246	1462796239.66125	1504270055.93342	1266517902.60645	1567961792.93942	994341585.376687	1325460196.644	NA	NA	NA	NA	NA	NA	NA
pep chromosome:GRCz11:9:32797816:32804953:-1 gene:ENSDARG00000020618.10 transcript:ENSDART00000134763.3 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:gatd3a description:glutamine amidotransferase like class 1 domain containing 3A [Source:ZFIN;Acc:ZDB-GENE-050417-147]	NA	3225944245.02513	2529644044.68985	2668322716.5128	2283464310.24922	2290641933.42342	2336263397.61001	1972968079.49806	2115565582.54793	2106864030.66364	1302176008.90031	1860961168.87182	1832919762.61645	1885092972.74251	1544974063.64317	1748794212.09379	1375542137.08484	1040401241.16135	1196853622.64777	NA	NA	NA	NA	NA	NA	NA
pep chromosome:GRCz11:5:30699260:30701891:1 gene:ENSDARG00000011841.7 transcript:ENSDART00000012888.7 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:atp5l description:ATP synthase, H+ transporting, mitochondrial F0 complex, subunit g [Source:ZFIN;Acc:ZDB-GENE-030131-5177]	atp5l	3076454627.51841	3674285836.6742	3656036699.90446	3087260964.01949	3225741461.71477	2905372520.27703	2893469862.2372	2929194495.06668	2942074264.85074	2483700275.51183	2621685847.80968	2664540763.66383	2686176736.87831	2818977085.06085	2546245880.51098	2066514171.80454	2118479216.64734	1986155921.67043	ENSDARG00000011841	ENSDART00000012888	ENSDARP00000007716	atp5l-201		protein_coding	ATP_synthase,_H+_transporting,_mitochondrial_F0_complex,_subunit_g_[Source:ZFIN;Acc:ZDB-GENE-030131-5177]
pep chromosome:GRCz11:2:26470070:26476150:-1 gene:ENSDARG00000038900.9 transcript:ENSDART00000132125.3 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:acadm description:acyl-CoA dehydrogenase medium chain [Source:ZFIN;Acc:ZDB-GENE-040426-1945]	acadm	3032811147.34517	3256496564.76012	2903822776.75593	2276315476.86035	2625812075.52591	2705380269.11907	2160583194.85084	2238192358.40634	2443544703.45163	2012155598.69146	2075050190.95485	2093688148.70921	2353833617.57055	2207463953.08994	2000218499.99759	1469094894.27729	1419876140.52184	1224172038.46687	ENSDARG00000038900	ENSDART00000135585,ENSDART00000145262,ENSDART00000132125,ENSDART00000139683	,ENSDARP00000120606,ENSDARP00000117024	acadm-202,acadm-204,acadm-201,acadm-203		protein_coding	acyl-CoA_dehydrogenase_medium_chain_[Source:ZFIN;Acc:ZDB-GENE-040426-1945]
pep chromosome:GRCz10:11:44909333:44917576:1 gene:ENSDARG00000098639.2 transcript:ENSDART00000165321.1 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:pycr1b description:pyrroline-5-carboxylate reductase 1b [Source:ZFIN;Acc:ZDB-GENE-050522-26]	zgc:110655; pycr1b	2986151525.6423	2806807469.29173	2734874624.22363	2263959728.02446	2471010358.94583	2343740404.9832	2244654910.25585	2177312116.58893	2426022762.04086	1814357905.21764	1868387560.37064	1675962666.53445	1850495262.15287	1736370690.41459	1613069597.89123	1326679155.19813	1101614155.65226	1177399961.53109	NA	NA	NA	NA	NA	NA	NA
pep chromosome:GRCz11:3:20947560:20957083:-1 gene:ENSDARG00000099499.2 transcript:ENSDART00000180531.1 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:ndufa4l description:NADH:ubiquinone oxidoreductase subunit A4, like [Source:ZFIN;Acc:ZDB-GENE-040426-2756]	NA	2938880222.53799	2214119552.77825	2592571440.67148	2435468746.35837	2441765321.29164	2374241596.76081	1787412096.64074	2259286232.60918	2507483742.01824	1341206167.62437	1831705128.75346	2119111483.64716	1828827444.03219	1733716657.35614	1753479023.59078	1620494109.98222	1286662407.54692	1139334371.7313	NA	NA	NA	NA	NA	NA	NA
pep chromosome:GRCz11:3:13582019:13599482:-1 gene:ENSDARG00000104173.2 transcript:ENSDART00000166639.2 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:tufm description:Tu translation elongation factor, mitochondrial [Source:ZFIN;Acc:ZDB-GENE-050320-73]	tufm	2906937899.11407	2719782667.48217	2762392996.24581	2874956401.09124	2521751879.77494	2548819975.39105	2493717789.13522	2359680239.76924	2446348535.38979	2040652109.46873	2106668667.29055	2039402978.7753	2102651411.4371	2070485520.45809	1921282661.73308	1721316270.1574	1508981783.18542	1495888992.2037	ENSDARG00000104173	ENSDART00000166639	ENSDARP00000134914	tufm-201		protein_coding	Tu_translation_elongation_factor,_mitochondrial_[Source:ZFIN;Acc:ZDB-GENE-050320-73]
Gcat protein, partial [Danio rerio]	gcat	2779925047.76357	2806602577.2106	2987041844.92489	2876889119.59755	2628214759.0449	2466904309.27308	2558084714.11135	2485768168.24291	2544987684.24233	2013508114.20359	2408829384.65188	2157556809.60419	2198274091.43902	2209115382.01872	2017191500.98461	1542257007.13228	1659677004.22677	1507821181.46244	ENSDARG00000005643	ENSDART00000007398	ENSDARP00000020361	gcat-201		protein_coding	glycine_C-acetyltransferase_[Source:ZFIN;Acc:ZDB-GENE-060518-3]
