GeneID	Name	ProteinID	LFC_2hpf/Egg	LFC_4hpf/Egg	LFC_6hpf/Egg	LFC_8hpf/Egg	LFC_24hpf/Egg	Padj_2hpf/Egg	Padj_4hpf/Egg	Padj_6hpf/Egg	Padj_8hpf/Egg	Padj_24hpf/Egg	Gene_name	Gene_stable_ID	Transcript_stable_ID	Protein_stable_ID	Transcript_name	Gene_Synonym	Gene_type	Gene_description
ENSDARG00000060150	psmd11a	ENSDARP00000078883	1.74512958378974	2.66632910286988	3.52947521331025	4.0572659432072	3.76340047010506	1.29406904768767e-05	1.2974042910714e-07	3.52274917098287e-09	7.60072170520954e-10	2.59962816143027e-10	psmd11a	ENSDARG00000060150	ENSDART00000151537,ENSDART00000084448,ENSDART00000151449,ENSDART00000154696	ENSDARP00000125950,ENSDARP00000078883,,ENSDARP00000129353	psmd11a-203,psmd11a-201,psmd11a-202,psmd11a-204		protein_coding	proteasome_26S_subunit,_non-ATPase_11a_[Source:ZFIN;Acc:ZDB-GENE-030131-2711]
ENSDARG00000040287	ywhabl	ENSDARP00000058955	2.03691956660736	2.24082285380619	2.81318066117212	3.51175637677012	3.49143286417592	1.29406904768767e-05	2.63581429168342e-06	1.173545823997e-07	8.89625414571975e-09	3.09551928364657e-09	ywhabl	ENSDARG00000040287	ENSDART00000058956,ENSDART00000189335,ENSDART00000183920	ENSDARP00000058955,ENSDARP00000152851,ENSDARP00000155510	ywhabl-201,ywhabl-203,ywhabl-202		protein_coding	tyrosine_3-monooxygenase/tryptophan_5-monooxygenase_activation_protein,_beta_polypeptide_like_[Source:ZFIN;Acc:ZDB-GENE-030131-448]
ENSDARG00000011201	rplp2l	ENSDARP00000022552	2.11339943978216	2.66881963325523	2.98292920518794	3.15752084703655	4.39539660618655	1.59837359627454e-05	1.04013694011909e-06	1.2318905756952e-07	4.69969533245857e-08	5.1337398883503e-10	rplp2l	ENSDARG00000011201	ENSDART00000013690,ENSDART00000173115	ENSDARP00000022552,ENSDARP00000142448	rplp2l-201,rplp2l-202		protein_coding	ribosomal_protein,_large_P2,_like_[Source:ZFIN;Acc:ZDB-GENE-070327-2]
ENSDARG00000099730	pkma	ENSDARP00000140346	1.32265881508868	1.89241618578219	2.58868160339937	2.9403923099213	2.90478850379978	2.00319376159601e-05	4.09186787263711e-07	7.88536427422873e-09	1.53155027969279e-09	3.73809694965581e-10	pkma	ENSDARG00000099730	ENSDART00000171729,ENSDART00000161206,ENSDART00000170888,ENSDART00000167229,ENSDART00000193163	ENSDARP00000131416,ENSDARP00000130584,ENSDARP00000132638,ENSDARP00000140346,ENSDARP00000153615	pkma-204,pkma-201,pkma-203,pkma-202,pkma-205		protein_coding	pyruvate_kinase_M1/2a_[Source:ZFIN;Acc:ZDB-GENE-031201-4]
ENSDARG00000002791	atp1a1a	ENSDARP00000075490	2.10423713974551	2.58138166395607	3.53542536821397	4.35003660180999	5.9164395621334	2.45696778614971e-05	1.89450423652369e-06	3.84494961956483e-08	3.2244768957965e-09	3.30429937278219e-11	atp1a1a.1	ENSDARG00000002791	ENSDART00000135994,ENSDART00000132968,ENSDART00000081047,ENSDART00000147682,ENSDART00000136381,ENSDART00000137184	,ENSDARP00000075490	atp1a1a.1-203,atp1a1a.1-202,atp1a1a.1-201,atp1a1a.1-206,atp1a1a.1-204,atp1a1a.1-205		protein_coding	ATPase_Na+/K+_transporting_subunit_alpha_1a,_tandem_duplicate_1_[Source:ZFIN;Acc:ZDB-GENE-001212-1]
ENSDARG00000054320	ap2a1	XP_009297842	2.76435386799753	3.64364868330514	4.29425501254886	4.27511492263036	4.68965687929578	2.51600373167104e-05	1.06264177666792e-06	7.93360093985516e-08	5.332996670556e-08	7.8208738427389e-09	AP2A1	ENSDARG00000054320	ENSDART00000155967,ENSDART00000155416,ENSDART00000154788,ENSDART00000156608,ENSDART00000156447	ENSDARP00000128168,,ENSDARP00000129796,ENSDARP00000127794,ENSDARP00000128936	AP2A1-201,AP2A1-202,AP2A1-203,AP2A1-204,AP2A1-205		protein_coding	adaptor_related_protein_complex_2_subunit_alpha_1_[Source:HGNC_Symbol;Acc:HGNC:561]
ENSDARG00000013966	psma6b	ENSDARP00000028134	1.78778971528367	1.79477482943186	3.30959976532813	3.73509300493882	3.54760160741278	3.98032415660185e-05	1.75110331377981e-05	2.2010137789803e-08	4.71042375463389e-09	2.37698344871357e-09	psma6b	ENSDARG00000013966	ENSDART00000012859,ENSDART00000171628	ENSDARP00000028134,ENSDARP00000139605	psma6b-201,psma6b-202		protein_coding	proteasome_20S_subunit_alpha_6b_[Source:ZFIN;Acc:ZDB-GENE-040718-329]
ENSDARG00000033899	ap2m1b	ENSDARP00000132735	2.48737005973913	3.29162370469458	4.23059410906902	4.32137889934069	4.4949681242792	4.71922440019159e-05	1.87107843208743e-06	6.31672816863284e-08	3.47932830822353e-08	7.8208738427389e-09	ap2m1b	ENSDARG00000033899	ENSDART00000108636,ENSDART00000151112,ENSDART00000151418	ENSDARP00000100738,ENSDARP00000126148,ENSDARP00000126276	ap2m1b-201,ap2m1b-202,ap2m1b-203		protein_coding	adaptor_related_protein_complex_2_subunit_mu_1b_[Source:ZFIN;Acc:ZDB-GENE-040426-1103]
ENSDARG00000007385	cct7	ENSDARP00000003107	2.18094123996826	2.50206533474754	4.23153771635808	4.61561601680414	4.9806335073809	5.09472483773428e-05	7.41598315280561e-06	1.78108238366154e-08	5.43075745608239e-09	6.72125711655257e-10	cct7	ENSDARG00000007385	ENSDART00000128363,ENSDART00000006802	,ENSDARP00000003107	cct7-202,cct7-201		protein_coding	chaperonin_containing_TCP1,_subunit_7_(eta)_[Source:ZFIN;Acc:ZDB-GENE-020419-7]
ENSDARG00000004757	ybx1	ENSDARP00000101517	3.35295884489137	3.05217515576987	3.2441950355333	3.86906730610264	5.80444962940068	6.21700089658747e-05	6.12185796919442e-05	1.84258511623576e-05	2.83846524067884e-06	1.59551702465331e-08	ybx1	ENSDARG00000004757	ENSDART00000110512,ENSDART00000128057,ENSDART00000163922,ENSDART00000024320,ENSDART00000126513	ENSDARP00000101517,,ENSDARP00000135135,ENSDARP00000010482	ybx1-202,ybx1-204,ybx1-205,ybx1-201,ybx1-203		protein_coding	Y_box_binding_protein_1_[Source:ZFIN;Acc:ZDB-GENE-000629-3]
ENSDARG00000053405	sord	ENSDARP00000069904	2.50164517400496	2.85158158695601	3.58675792660628	3.86139664568265	3.64816632618731	6.5399722600851e-05	1.03307667986138e-05	4.31511821186738e-07	1.41566704801043e-07	1.18821618578991e-07	sord	ENSDARG00000053405	ENSDART00000149303,ENSDART00000075421	ENSDARP00000124813,ENSDARP00000069904	sord-202,sord-201		protein_coding	sorbitol_dehydrogenase_[Source:ZFIN;Acc:ZDB-GENE-040426-1231]
ENSDARG00000017140	zgc:63587	ENSDARP00000134383	2.5253078569406	2.18815017922934	2.74305488241009	2.48946446599353	2.71430165192796	7.00440290709034e-05	0.000118009215913588	7.28342331952691e-06	1.48849988290249e-05	3.12783291309767e-06	zgc:63587	ENSDARG00000017140	ENSDART00000019828	ENSDARP00000027643	zgc:63587-201		protein_coding	zgc:63587_[Source:ZFIN;Acc:ZDB-GENE-040426-1175]
ENSDARG00000056119	eef1g	ENSDARP00000072983	1.52249726705224	2.49741410065774	3.34946779549773	3.55163654738657	4.19504761670832	7.46636401273151e-05	4.09186787263711e-07	9.66436316855067e-09	3.2244768957965e-09	1.55642387308478e-10	eef1g	ENSDARG00000056119	ENSDART00000172927,ENSDART00000078522	ENSDARP00000142076,ENSDARP00000072983	eef1g-202,eef1g-201		protein_coding	eukaryotic_translation_elongation_factor_1_gamma_[Source:ZFIN;Acc:ZDB-GENE-020423-3]
ENSDARG00000070822	cnp	ENSDARP00000148933	1.43892221920623	1.76188170830826	2.3439731764883	2.42749551817336	2.26005770883404	7.77799718689427e-05	6.8107469357509e-06	1.57352410787125e-07	7.51108960497132e-08	7.12621249792794e-08	cnp	ENSDARG00000070822	ENSDART00000167731,ENSDART00000165644,ENSDART00000104299,ENSDART00000162144,ENSDART00000162242,ENSDART00000166289,ENSDART00000171101,ENSDART00000164853,ENSDART00000185047	ENSDARP00000130420,ENSDARP00000131408,ENSDARP00000095074,ENSDARP00000137949,ENSDARP00000137524,ENSDARP00000138283,ENSDARP00000138110,ENSDARP00000135781,ENSDARP00000148933	cnp-207,cnp-205,cnp-201,cnp-202,cnp-203,cnp-206,cnp-208,cnp-204,cnp-209		protein_coding	2',3'-cyclic_nucleotide_3'_phosphodiesterase_[Source:ZFIN;Acc:ZDB-GENE-030521-29]
ENSDARG00000033738	zgc:153867	XP_017209013	1.92832085919873	2.58592901805637	3.03715995827819	3.35886537289474	3.77437764019601	7.77799718689427e-05	2.76204639808499e-06	2.28450675637293e-07	5.63291290738189e-08	6.70105860978014e-09	zgc:153867	ENSDARG00000033738	ENSDART00000135178,ENSDART00000128831,ENSDART00000138621,ENSDART00000144051,ENSDART00000140058,ENSDART00000144240,ENSDART00000145327,ENSDART00000014983,ENSDART00000162722,ENSDART00000188915	ENSDARP00000115100,ENSDARP00000106177,ENSDARP00000117369,,ENSDARP00000117096,ENSDARP00000120093,ENSDARP00000116185,ENSDARP00000025083,ENSDARP00000139613,ENSDARP00000151604	zgc:153867-203,zgc:153867-202,zgc:153867-204,zgc:153867-206,zgc:153867-205,zgc:153867-207,zgc:153867-208,zgc:153867-201,zgc:153867-209,zgc:153867-210		protein_coding	zgc:153867_[Source:ZFIN;Acc:ZDB-GENE-030131-9170]
ENSDARG00000019644	ldhba	ENSDARP00000013329	1.25754493601648	2.03627665623649	2.79308391148767	2.93092116463214	2.94149437489879	7.77799718689427e-05	4.53723475567046e-07	9.66436316855067e-09	3.5827169439643e-09	1.00474975316798e-09	ldhba	ENSDARG00000019644	ENSDART00000010777,ENSDART00000179867	ENSDARP00000013329,ENSDARP00000156680	ldhba-201,ldhba-202		protein_coding	lactate_dehydrogenase_Ba_[Source:ZFIN;Acc:ZDB-GENE-991026-6]
ENSDARG00000006019	tktb	ENSDARP00000144104	2.2675116908401	2.92798235950651	3.5255379444873	3.59700866782398	3.20026335160487	0.000116055892366419	6.5729077167853e-06	3.93062559098393e-07	2.16450173540784e-07	3.53379550618685e-07	tktb	ENSDARG00000006019	ENSDART00000005021,ENSDART00000146888,ENSDART00000134582,ENSDART00000147725,ENSDART00000144708	ENSDARP00000017569,	tktb-201,tktb-204,tktb-202,tktb-205,tktb-203		protein_coding	transketolase_b_[Source:ZFIN;Acc:ZDB-GENE-030909-13]
ENSDARG00000021252	cct6a	ENSDARP00000136804	2.46307223252868	3.00794627406499	3.8832043525144	4.5062221939484	4.81197033163833	0.000116055892366419	1.05521907412164e-05	3.68680841159887e-07	5.60535130940391e-08	1.09340354928887e-08	cct6a	ENSDARG00000021252	ENSDART00000141067,ENSDART00000137630,ENSDART00000009484,ENSDART00000160908	ENSDARP00000112608,ENSDARP00000118006,ENSDARP00000016831,ENSDARP00000136804	cct6a-203,cct6a-202,cct6a-201,cct6a-204		protein_coding	chaperonin_containing_TCP1,_subunit_6A_(zeta_1)_[Source:ZFIN;Acc:ZDB-GENE-011018-2]
ENSDARG00000016706	atic	ENSDARP00000024082	1.21501075055661	1.70484063650659	2.36078772265165	2.72570704136617	2.36258822029843	0.000116055892366419	2.82237158486528e-06	5.4089940630139e-08	8.89625414571975e-09	1.14768138295447e-08	atic	ENSDARG00000016706	ENSDART00000136282,ENSDART00000141973,ENSDART00000137670,ENSDART00000022307,ENSDART00000139261	,ENSDARP00000024082	atic-202,atic-205,atic-203,atic-201,atic-204		protein_coding	5-aminoimidazole-4-carboxamide_ribonucleotide_formyltransferase/IMP_cyclohydrolase_[Source:ZFIN;Acc:ZDB-GENE-011212-4]
ENSDARG00000025269	pdcd6ip	XP_009292689	1.70218738203019	2.07451502403502	3.29788081238288	3.18849596665948	2.62696357187243	0.000116055892366419	1.08986284620268e-05	5.42721321789898e-08	4.69969533245857e-08	1.48466699845657e-07	pdcd6ip	ENSDARG00000025269	ENSDART00000135164	ENSDARP00000121990	pdcd6ip-201		protein_coding	programmed_cell_death_6_interacting_protein_[Source:ZFIN;Acc:ZDB-GENE-040426-2678]
ENSDARG00000043257	ckbb	ENSDARP00000024900	1.72411287077042	2.44448040824689	2.47773880640946	1.54960190718334	0.314309008494703	0.000139774330787214	3.03592159082143e-06	1.11590970630512e-06	7.70270303155554e-05	0.226786168333084	ckbb	ENSDARG00000043257	ENSDART00000136592,ENSDART00000152118,ENSDART00000027603,ENSDART00000152288,ENSDART00000142618,ENSDART00000145601,ENSDART00000152577,ENSDART00000152781	,ENSDARP00000126677,ENSDARP00000024900,ENSDARP00000126962,ENSDARP00000115226,ENSDARP00000126800	ckbb-202,ckbb-205,ckbb-201,ckbb-206,ckbb-203,ckbb-204,ckbb-207,ckbb-208		protein_coding	creatine_kinase,_brain_b_[Source:ZFIN;Acc:ZDB-GENE-020103-2]
ENSDARG00000052518	stx4	ENSDARP00000154837	2.254251911298	2.66414742080436	3.57694201389445	3.80546122877623	3.52223231418317	0.000157342094594508	1.75110331377981e-05	4.74161787817056e-07	1.63581516731432e-07	1.79915877720402e-07	stx4	ENSDARG00000052518	ENSDART00000074384,ENSDART00000190179	ENSDARP00000068873,ENSDARP00000154837	stx4-201,stx4-202		protein_coding	syntaxin_4_[Source:ZFIN;Acc:ZDB-GENE-030131-2455]
ENSDARG00000030053	eef1db	XP_005160976	2.21856610357159	3.28400690534403	3.89139764890767	4.21154790113574	4.74144683355389	0.000165121299330462	2.63581429168342e-06	1.83945740040588e-07	5.63291290738189e-08	6.70105860978014e-09	eef1db	ENSDARG00000030053	ENSDART00000110777,ENSDART00000153377,ENSDART00000153013,ENSDART00000042704,ENSDART00000153217,ENSDART00000145230	ENSDARP00000100592,ENSDARP00000127174,ENSDARP00000127177,ENSDARP00000042703,ENSDARP00000127370,ENSDARP00000120813	eef1db-202,eef1db-206,eef1db-204,eef1db-201,eef1db-205,eef1db-203		protein_coding	eukaryotic_translation_elongation_factor_1_delta_b_(guanine_nucleotide_exchange_protein)_[Source:ZFIN;Acc:ZDB-GENE-030131-6544]
ENSDARG00000057026	ran	ENSDARP00000032532	1.12775978489061	1.36988702063587	2.23469570752156	2.4742108690714	2.50022325734165	0.000171810404511336	1.61095990218506e-05	6.4292923842127e-08	1.62199917472553e-08	4.90429551286165e-09	ran	ENSDARG00000057026	ENSDART00000034438,ENSDART00000137589,ENSDART00000144503,ENSDART00000128717	ENSDARP00000032532,,ENSDARP00000121831,ENSDARP00000108629	ran-201,ran-203,ran-204,ran-202		protein_coding	RAN,_member_RAS_oncogene_family_[Source:ZFIN;Acc:ZDB-GENE-990415-88]
ENSDARG00000068978	glo1	ENSDARP00000090756	2.24122855230858	2.8949204990661	4.29385248631824	4.03089931768159	3.33786487152127	0.000201879318331824	1.11023976279483e-05	1.07741871054867e-07	1.26090923070525e-07	4.02856906173272e-07	glo1	ENSDARG00000068978	ENSDART00000099984	ENSDARP00000090756	glo1-201		protein_coding	glyoxalase_1_[Source:ZFIN;Acc:ZDB-GENE-030722-9]
ENSDARG00000034240	capza1a	ENSDARP00000046972	2.50865102321988	2.89244299677425	4.23953338146545	5.08342767440257	4.8947929968747	0.000211277203858652	2.99245081972326e-05	3.68680841159887e-07	4.32933802116213e-08	2.4177465247692e-08	capza1a	ENSDARG00000034240	ENSDART00000149159,ENSDART00000046973	ENSDARP00000123699,ENSDARP00000046972	capza1a-202,capza1a-201		protein_coding	capping_actin_protein_of_muscle_Z-line_subunit_alpha_1a_[Source:ZFIN;Acc:ZDB-GENE-030131-5237]
ENSDARG00000005191	ahcy	ENSDARP00000002844	2.08163660332181	2.7583734447845	3.33597607578801	3.78731552621396	2.35680031430403	0.000279021744823799	1.18002488647164e-05	7.95100881199306e-07	1.53791611901328e-07	9.29334768967555e-06	ahcy	ENSDARG00000005191	ENSDART00000018523	ENSDARP00000002844	ahcy-201		protein_coding	adenosylhomocysteinase_[Source:ZFIN;Acc:ZDB-GENE-031219-6]
ENSDARG00000037559	uba1	ENSDARP00000054690	1.73097751717522	1.99497929028577	2.82718014222416	3.51498757573404	3.38314752497294	0.000279393047075158	3.92960041873384e-05	6.71302289254905e-07	5.44442373263781e-08	3.20727679801531e-08	uba1	ENSDARG00000037559	ENSDART00000133131,ENSDART00000136021,ENSDART00000054691,ENSDART00000147382	ENSDARP00000119427,,ENSDARP00000054690,ENSDARP00000120542	uba1-202,uba1-203,uba1-201,uba1-204		protein_coding	ubiquitin-like_modifier_activating_enzyme_1_[Source:ZFIN;Acc:ZDB-GENE-040426-2009]
ENSDARG00000035152	ap2b1	ENSDARP00000050915	2.73707674437109	4.33855815011349	4.21127713580614	4.53840421192434	4.47694340419929	0.000292202735438695	2.63581429168342e-06	1.29837262038359e-06	4.52238846911466e-07	2.36489204204931e-07	ap2b1	ENSDARG00000035152	ENSDART00000050916,ENSDART00000188878,ENSDART00000134387,ENSDART00000171248	ENSDARP00000050915,ENSDARP00000151953,ENSDARP00000121218,ENSDARP00000132587	ap2b1-201,ap2b1-204,ap2b1-202,ap2b1-203		protein_coding	adaptor_related_protein_complex_2_subunit_beta_1_[Source:ZFIN;Acc:ZDB-GENE-030131-6564]
ENSDARG00000007250	use1	ENSDARP00000024706	1.69027463550871	1.24793462694804	-0.0977492610263901	-0.548816249467549	1.25314465188003	0.00030727027335432	0.00162302586177468	0.741755068813754	0.0784465248985673	0.000454370176633983	use1	ENSDARG00000007250	ENSDART00000006927,ENSDART00000126664	ENSDARP00000024706,ENSDARP00000105274	use1-201,use1-202		protein_coding	unconventional_SNARE_in_the_ER_1_homolog_(S._cerevisiae)_[Source:ZFIN;Acc:ZDB-GENE-040426-1015]
ENSDARG00000058367	abhd14a	ENSDARP00000075671	1.47246006827431	1.70622695704677	2.11043794206567	1.5340912276282	0.896799349482521	0.00032163215511486	4.31885386379486e-05	2.82457472190362e-06	4.78201342560378e-05	0.00205349447127067	abhd14a	ENSDARG00000058367	ENSDART00000081228	ENSDARP00000075671	abhd14a-201		protein_coding	abhydrolase_domain_containing_14A_[Source:ZFIN;Acc:ZDB-GENE-040426-2428]
ENSDARG00000002792	arcn1a	ENSDARP00000011311	2.49818058353713	2.28835730402877	1.56711700019211	0.880818488589158	0.358338159774748	0.000406127374932396	0.000417833770531343	0.00361139691754965	0.0651907996286615	0.395439488971164	arcn1a	ENSDARG00000002792	ENSDART00000014666	ENSDARP00000011311	arcn1a-201		protein_coding	archain_1a_[Source:ZFIN;Acc:ZDB-GENE-021031-2]
ENSDARG00000016968	tmem214	ENSDARP00000109245	2.96692552213866	3.01074248703291	2.62466934135381	2.01960674414513	4.07630169254638	0.000406127374932396	0.00018195024598632	0.00029692294597441	0.00213570877242089	2.18680978794707e-06	tmem214	ENSDARG00000016968	ENSDART00000150852,ENSDART00000150594,ENSDART00000150812,ENSDART00000128743	,ENSDARP00000109245	tmem214-204,tmem214-202,tmem214-203,tmem214-201		protein_coding	transmembrane_protein_214_[Source:ZFIN;Acc:ZDB-GENE-110307-2]
ENSDARG00000025350	prdx2	ENSDARP00000040396	1.38008476967867	1.91759720335519	2.54153786765476	3.0600941054014	2.20184255304516	0.000406127374932396	1.18002488647164e-05	3.35800117988205e-07	3.92655343601428e-08	4.61359788259591e-07	prdx2	ENSDARG00000025350	ENSDART00000040397	ENSDARP00000040396	prdx2-201		protein_coding	peroxiredoxin_2_[Source:ZFIN;Acc:ZDB-GENE-030326-2]
ENSDARG00000008237	sars1	ENSDARP00000136951	2.23995843999475	3.00162111261537	3.95349232291358	4.28279569266654	5.0630778374591	0.000410609113145069	1.63902569048893e-05	5.0838371315095e-07	1.53791611901328e-07	1.10935256636446e-08	sars1	ENSDARG00000008237	ENSDART00000147862,ENSDART00000003296	,ENSDARP00000015775	sars1-202,sars1-201		protein_coding	seryl-tRNA_synthetase_1_[Source:ZFIN;Acc:ZDB-GENE-040831-1]
ENSDARG00000041728	man1a2	ENSDARP00000120629	1.95916779506324	1.95681137682816	1.81881559694513	1.51674615749674	0.991896447218263	0.000412712749910729	0.000219819300956816	0.000203273256151072	0.000843339994971132	0.00824856883651849	man1a2	ENSDARG00000041728	ENSDART00000147435,ENSDART00000144248,ENSDART00000178434,ENSDART00000183911	ENSDARP00000118360,ENSDARP00000120629,ENSDARP00000143611,ENSDARP00000151347	man1a2-202,man1a2-201,man1a2-203,man1a2-204		protein_coding	mannosidase,_alpha,_class_1A,_member_2_[Source:ZFIN;Acc:ZDB-GENE-070912-390]
ENSDARG00000042533	gstm	ENSDARP00000049792	1.50470748365435	1.45684352126442	2.73620163076232	3.04862908694926	2.55301015699702	0.000415075205586072	0.000291667508044241	3.93062559098393e-07	8.91623430762783e-08	2.63965694063952e-07	gstm.1	ENSDARG00000042533	ENSDART00000049793	ENSDARP00000049792	gstm.1-201		protein_coding	glutathione_S-transferase_mu,_tandem_duplicate_1_[Source:ZFIN;Acc:ZDB-GENE-030911-2]
ENSDARG00000008142	stxbp3	ENSDARP00000135485	1.85558932144641	2.78469868616043	3.69947025695134	3.34964208089169	3.27021427078202	0.000415123848875103	6.8107469357509e-06	1.57352410787125e-07	2.94508028975445e-07	1.79915877720402e-07	stxbp3	ENSDARG00000008142	ENSDART00000044776	ENSDARP00000044775	stxbp3-201		protein_coding	syntaxin_binding_protein_3_[Source:ZFIN;Acc:ZDB-GENE-040426-2833]
